file,#var,#clause,#literal
/home/users/ozeyen/Benchmarks/19.sk_3_48.cnf, 97, 223, 559
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case55.cnf, 102, 283, 737
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case122.cnf, 139, 467, 1234
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case109.cnf, 176, 683, 1953
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case54.cnf, 116, 405, 1133
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case56.cnf, 116, 405, 1133
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_even2.cnf, 1907, 5775, 14681
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring10.cnf, 838, 2613, 6815
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case28.cnf, 32, 78, 208
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case210.cnf, 653, 1969, 4978
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_even3.cnf, 2880, 8594, 21866
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case46.cnf, 113, 386, 1030
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case200.cnf, 5, 7, 17
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case206.cnf, 5, 7, 17
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case123.cnf, 139, 409, 1083
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case5.cnf, 123, 313, 834
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case9.cnf, 184, 427, 1138
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring50.cnf, 319, 1009, 2759
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case143.cnf, 317, 1205, 3415
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf, 445, 1401, 3639
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case42.cnf, 686, 1936, 5213
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case102.cnf, 22, 51, 140
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case2.cnf, 145, 538, 1520
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case113.cnf, 152, 676, 1823
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case29.cnf, 41, 105, 283
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case121.cnf, 184, 500, 1324
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case52.cnf, 97, 267, 659
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case60.cnf, 9, 15, 41
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring70.cnf, 677, 1925, 4953
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case58.cnf, 45, 118, 335
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring14.cnf, 1108, 3609, 9436
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case7.cnf, 69, 192, 516
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case207.cnf, 777, 1943, 4761
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case128.cnf, 23, 57, 143
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case144.cnf, 517, 1492, 4036
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_ptb_2.cnf, 2130, 6853, 17733
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case118.cnf, 150, 670, 1805
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_even2_linear.cnf, 7293, 22319, 57622
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case4.cnf, 55, 145, 394
