file,t,k,s
Benchmarks/Blasted_Real/blasted_case200.cnf, 14, 3, 13
Benchmarks/Blasted_Real/blasted_case206.cnf, 14, 3, 13
Benchmarks/Blasted_Real/blasted_case60.cnf, 15, 3, 12
Benchmarks/V15/s27_new_15_7.cnf, 8, 3, 18
Benchmarks/V3/s27_new_3_2.cnf, 8, 3, 7
Benchmarks/V7/s27_new_7_4.cnf, 8, 3, 10
Benchmarks/V3/s27_3_2.cnf, 12, 3, 15
Benchmarks/V7/s27_7_4.cnf, 16, 3, 31
Benchmarks/Blasted_Real/blasted_case103.cnf, 32, 3, 20
Benchmarks/V15/s27_15_7.cnf, 24, 3, 63
Benchmarks/Blasted_Real/blasted_case102.cnf, 34, 3, 20
Benchmarks/Blasted_Real/blasted_case127.cnf, 36, 3, 21
Benchmarks/Blasted_Real/blasted_case128.cnf, 36, 3, 21
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 13, 6, 16
Benchmarks/Blasted_Real/blasted_case28.cnf, 51, 3, 25
Benchmarks/Blasted_Real/blasted_case33.cnf, 51, 3, 25
Benchmarks/Blasted_Real/blasted_case27.cnf, 52, 3, 27
Benchmarks/Blasted_Real/blasted_case32.cnf, 52, 3, 27
Benchmarks/Blasted_Real/blasted_case26.cnf, 53, 3, 27
Benchmarks/Blasted_Real/blasted_case31.cnf, 53, 3, 27
Benchmarks/Blasted_Real/blasted_case134.cnf, 60, 3, 77
Benchmarks/Blasted_Real/blasted_case137.cnf, 60, 3, 73
Benchmarks/Blasted_Real/blasted_case36.cnf, 56, 3, 59
Benchmarks/Blasted_Real/blasted_case24.cnf, 65, 3, 35
Benchmarks/Blasted_Real/blasted_case29.cnf, 65, 3, 35
Benchmarks/tutorial1.sk_1_1.cnf, 0, 1, 1
Benchmarks/Blasted_Real/blasted_case25.cnf, 68, 3, 33
Benchmarks/Blasted_Real/blasted_case30.cnf, 68, 3, 33
Benchmarks/Blasted_Real/blasted_case100.cnf, 72, 3, 81
Benchmarks/Blasted_Real/blasted_case101.cnf, 72, 3, 77
Benchmarks/Blasted_Real/blasted_case17.cnf, 77, 3, 77
Benchmarks/Blasted_Real/blasted_case23.cnf, 77, 3, 77
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 85, 3, 67
Benchmarks/Blasted_Real/blasted_case59.cnf, 85, 3, 67
Benchmarks/Blasted_Real/blasted_case64.cnf, 85, 3, 67
Benchmarks/Blasted_Real/blasted_case58.cnf, 88, 3, 69
Benchmarks/Blasted_Real/blasted_case63.cnf, 88, 3, 69
Benchmarks/Blasted_Real/blasted_case4.cnf, 103, 3, 81
Benchmarks/Blasted_Real/blasted_case11.cnf, 105, 3, 70
Benchmarks/Blasted_Real/blasted_case43.cnf, 116, 3, 59
Benchmarks/Blasted_Real/blasted_case45.cnf, 116, 3, 59
Benchmarks/Blasted_Real/blasted_case7.cnf, 116, 3, 112
Benchmarks/Blasted_Real/blasted_case47.cnf, 118, 3, 74
Benchmarks/Blasted_Real/blasted_case21.cnf, 126, 3, 57
Benchmarks/Blasted_Real/blasted_case22.cnf, 126, 3, 57
Benchmarks/Blasted_Real/blasted_case51.cnf, 132, 3, 53
Benchmarks/Blasted_Real/blasted_case52.cnf, 132, 3, 53
Benchmarks/Blasted_Real/blasted_case124.cnf, 133, 3, 116
Benchmarks/Blasted_Real/blasted_case53.cnf, 132, 3, 53
Benchmarks/Blasted_Real/blasted_case112.cnf, 137, 3, 92
Benchmarks/Blasted_Real/blasted_case38.cnf, 143, 3, 126
Benchmarks/Blasted_Real/blasted_case55.cnf, 149, 3, 57
Benchmarks/Blasted_Real/blasted_case8.cnf, 160, 3, 147
Benchmarks/Blasted_Real/blasted_case105.cnf, 170, 3, 69
Benchmarks/Blasted_Real/blasted_case44.cnf, 173, 3, 95
Benchmarks/Blasted_Real/blasted_case46.cnf, 176, 3, 95
Benchmarks/Blasted_Real/blasted_case5.cnf, 176, 3, 136
Benchmarks/Blasted_Real/blasted_case68.cnf, 178, 3, 109
Benchmarks/Blasted_Real/blasted_case1.cnf, 187, 3, 90
Benchmarks/V3/s344_3_2.cnf, 166, 3, 18
Benchmarks/V3/s349_3_2.cnf, 167, 3, 18
Benchmarks/Blasted_Real/blasted_case201.cnf, 200, 3, 43
Benchmarks/Blasted_Real/blasted_case202.cnf, 200, 3, 43
Benchmarks/Blasted_Real/blasted_case56.cnf, 202, 3, 80
Benchmarks/Blasted_Real/blasted_case54.cnf, 203, 3, 82
Benchmarks/Blasted_Real/blasted_case106.cnf, 204, 3, 77
Benchmarks/Blasted_Real/blasted_case108.cnf, 205, 3, 65
Benchmarks/V3/s298_3_2.cnf, 183, 3, 26
Benchmarks/Blasted_Real/blasted_case133.cnf, 211, 3, 221
Benchmarks/Blasted_Real/blasted_case136.cnf, 211, 3, 217
Benchmarks/Blasted_Real/blasted_case203.cnf, 214, 3, 43
Benchmarks/Blasted_Real/blasted_case204.cnf, 214, 3, 43
Benchmarks/Blasted_Real/blasted_case205.cnf, 214, 3, 43
Benchmarks/V7/s344_7_4.cnf, 186, 3, 31
Benchmarks/V7/s349_7_4.cnf, 187, 3, 31
Benchmarks/Blasted_Real/blasted_case145.cnf, 219, 3, 94
Benchmarks/Blasted_Real/blasted_case146.cnf, 219, 3, 94
Benchmarks/V7/s298_7_4.cnf, 203, 3, 30
Benchmarks/Blasted_Real/blasted_case132.cnf, 236, 3, 135
Benchmarks/Blasted_Real/blasted_case135.cnf, 236, 3, 139
Benchmarks/Blasted_Real/blasted_case_1_b14_1.cnf, 238, 3, 77
Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf, 238, 3, 77
Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf, 238, 3, 77
Benchmarks/Blasted_Real/blasted_case109.cnf, 241, 3, 81
Benchmarks/Blasted_Real/blasted_case39.cnf, 245, 3, 103
Benchmarks/Blasted_Real/blasted_case40.cnf, 245, 3, 103
Benchmarks/Blasted_Real/blasted_case41.cnf, 245, 3, 103
Benchmarks/Blasted_Real/blasted_case14.cnf, 247, 3, 164
Benchmarks/V3/s382_3_2.cnf, 229, 3, 44
Benchmarks/Blasted_Real/blasted_case119.cnf, 267, 3, 105
Benchmarks/Blasted_Real/blasted_case123.cnf, 267, 3, 342
Benchmarks/Blasted_Real/blasted_case_1_b14_2.cnf, 270, 3, 113
Benchmarks/Blasted_Real/blasted_case_2_b14_2.cnf, 270, 3, 113
Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf, 270, 3, 113
Benchmarks/Blasted_Real/blasted_case9.cnf, 279, 3, 191
Benchmarks/V7/s382_7_4.cnf, 249, 3, 44
Benchmarks/Blasted_Real/blasted_case61.cnf, 282, 3, 115
Benchmarks/Blasted_Real/blasted_case120.cnf, 284, 3, 109
Benchmarks/V15/s344_15_7.cnf, 256, 3, 72
Benchmarks/V15/s349_15_7.cnf, 257, 3, 72
Benchmarks/Blasted_Real/blasted_case110.cnf, 287, 3, 360
Benchmarks/V3/s444_3_2.cnf, 256, 3, 46
