file,state_z3,mem_z3,time_z3
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case200.cnf, done, 23117, 0.00231116
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case206.cnf, done, 23117, 0.00219737
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case60.cnf, done, 23252, 0.00222786
/home/users/ozeyen/Benchmarks/V15/s27_new_15_7.cnf, done, 23117, 0.00220111
/home/users/ozeyen/Benchmarks/V3/s27_new_3_2.cnf, done, 23117, 0.00219004
/home/users/ozeyen/Benchmarks/V7/s27_new_7_4.cnf, done, 23089, 0.00223526
/home/users/ozeyen/Benchmarks/V3/s27_3_2.cnf, done, 23089, 0.00226705
/home/users/ozeyen/Benchmarks/V7/s27_7_4.cnf, done, 23117, 0.0023454
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case103.cnf, done, 23089, 0.00231014
/home/users/ozeyen/Benchmarks/V15/s27_15_7.cnf, done, 23089, 0.00223232
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case102.cnf, done, 23117, 0.00222997
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case127.cnf, done, 23117, 0.00221651
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case128.cnf, done, 22982, 0.00223181
/home/users/ozeyen/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, done, 23117, 0.00221117
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case28.cnf, done, 23117, 0.00231293
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case33.cnf, done, 23089, 0.00225933
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case27.cnf, done, 23089, 0.00226316
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case32.cnf, done, 23089, 0.00221688
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case26.cnf, done, 22982, 0.00222834
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case31.cnf, done, 23089, 0.00337087
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case134.cnf, done, 23089, 0.00223056
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case137.cnf, done, 23117, 0.00219729
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case36.cnf, done, 23117, 0.00222996
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case24.cnf, done, 23089, 0.00222666
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case29.cnf, done, 23117, 0.00220314
/home/users/ozeyen/Benchmarks/tutorial1.sk_1_1.cnf, done, 23117, 0.00221772
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case25.cnf, done, 23117, 0.00217086
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case30.cnf, done, 23089, 0.00331931
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case100.cnf, done, 23089, 0.00221312
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case101.cnf, done, 23089, 0.00226032
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case17.cnf, done, 23089, 0.00226259
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case23.cnf, done, 23089, 0.00223068
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case59_1.cnf, done, 23089, 0.00223098
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case59.cnf, done, 23117, 0.00222312
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case64.cnf, done, 23117, 0.00219533
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case58.cnf, done, 23089, 0.00222276
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case63.cnf, done, 23117, 0.00226337
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case4.cnf, done, 23089, 0.00225737
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case11.cnf, done, 23089, 0.00222295
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case43.cnf, done, 23089, 0.00224261
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case45.cnf, done, 23089, 0.00226161
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case7.cnf, done, 23089, 0.00226596
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case47.cnf, done, 23089, 0.00222936
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case21.cnf, done, 23089, 0.00218633
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case22.cnf, done, 23089, 0.00221577
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case51.cnf, done, 23117, 0.00221846
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case52.cnf, done, 23117, 0.00231848
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case53.cnf, done, 23117, 0.00223097
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case124.cnf, done, 23089, 0.00223641
