file,deff,lp
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case200.cnf, 28, 28.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case206.cnf, 28, 28.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case60.cnf, 20, 20.00000000
/home/users/ozeyen/Benchmarks/V15/s27_new_15_7.cnf, 26, 26.00000000
/home/users/ozeyen/Benchmarks/V3/s27_new_3_2.cnf, 14, 14.00000000
/home/users/ozeyen/Benchmarks/V7/s27_new_7_4.cnf, 18, 18.00000000
/home/users/ozeyen/Benchmarks/V3/s27_3_2.cnf, 23, 23.00000000
/home/users/ozeyen/Benchmarks/V7/s27_7_4.cnf, 39, 39.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case103.cnf, 54, 54.00000000
/home/users/ozeyen/Benchmarks/V15/s27_15_7.cnf, 71, 71.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case102.cnf, 58, 58.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case127.cnf, 68, 68.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case128.cnf, 68, 68.00000000
/home/users/ozeyen/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 59, 59.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case28.cnf, 92, 92.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case33.cnf, 92, 92.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case27.cnf, 94, 94.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case32.cnf, 94, 94.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case26.cnf, 95, 95.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case31.cnf, 95, 95.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case134.cnf, 86, 86.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case137.cnf, 86, 86.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case36.cnf, 144, 144.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case24.cnf, 125, 125.00000000
/home/users/ozeyen/Benchmarks/tutorial1.sk_1_1.cnf, -1, 0
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case29.cnf, 125, 125.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case25.cnf, 127, 127.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case30.cnf, 127, 127.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case100.cnf, 106, 106.00000000
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case101.cnf, 106, 106.00000000
