file,deff,lp
/home/users/ozeyen/Benchmarks/19.sk_3_48.cnf, 126, 126
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case55.cnf, 181, 181
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case122.cnf, 328, 328
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_even3.cnf, 5714, 5714
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_even2.cnf, 3868, 3868
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case109.cnf, 507, 507
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case54.cnf, 289, 289
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case56.cnf, 289, 289
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring10.cnf, 1775, 1775
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case210.cnf, 1316, 1316
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case28.cnf, 46, 46
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case46.cnf, 273, 273
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case200.cnf, 2, 2
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case206.cnf, 2, 2
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case123.cnf, 270, 270
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case5.cnf, 190, 190
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring50.cnf, 690, 690
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case9.cnf, 243, 243
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case143.cnf, 888, 888
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf, 956, 956
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_even2_linear.cnf, 15026, 15026
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case42.cnf, 1250, 1250
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case102.cnf, 29, 29
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case2.cnf, 393, 393
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case113.cnf, 524, 524
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case29.cnf, 64, 64
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case121.cnf, 316, 316
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case52.cnf, 170, 170
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring70.cnf, 1248, 1248
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case60.cnf, 6, 6
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring14.cnf, 2501, 2501
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case58.cnf, 73, 73
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_ptb_2.cnf, 4723, 4723
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case7.cnf, 123, 123
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case207.cnf, 1166, 1166
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case144.cnf, 975, 975
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case128.cnf, 34, 34
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case118.cnf, 520, 520
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_even1.cnf, 3883, 3883
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring4.cnf, 1312, 1312
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case4.cnf, 90, 90
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_device_1_linear.cnf, 1717, 1717
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_2_linear.cnf, 2119, 2119
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b12_even3.cnf, 5714, 5714
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case15.cnf, 320, 320
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case124.cnf, 100, 100
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case214.cnf, 963, 963
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b14_3.cnf, 301, 301
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case26.cnf, 46, 46
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_device_1_even_linear.cnf, 2726, 2726
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_ptb_1.cnf, 1392, 1392
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b12_even2_linear.cnf, 13365, 13365
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case131.cnf, 672, 672
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case146.cnf, 207, 207
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case62.cnf, 377, 377
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf, 313, 313
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case12.cnf, 1095, 1095
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case203.cnf, 295, 295
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_3_4_b14_even.cnf, 1690, 1690
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring25.cnf, 1118, 1118
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case114.cnf, 737, 737
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_even2.cnf, 3868, 3868
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case138.cnf, 1068, 1068
